id,image_id,lang,prediction,reference,bertscore_f1
0,0,EN,Two men are doing tricks on a railing.,Boys dancing on poles in the middle of the night.,0.7524707317352295
1,0,DE,Zwei Männer machen Kunststücke auf einer Geländerbrücke.,Jungen tanzen mitten in der Nacht auf Pfosten.,0.7186957597732544
2,0,FR,Deux hommes faisant des figures sur un barrière de sécurité.,Des garçons dansent sur des barres au milieu de la nuit.,0.7926480174064636
3,0,CS,Dva mladí muži předvádí triky na zdi.,Chlapci tančící na tyčích uprostřed noci.,0.7353843450546265
4,1,EN,Four people jumping off of stairs.,Four guys three wearing hats one not are jumping at the top of a staircase.,0.7876743674278259
5,1,DE,Vier junge Männer springen von einer Treppe.,"Vier Typen, von denen drei Hüte tragen und einer nicht, springen oben in einem Treppenhaus.",0.7299041748046875
6,1,FR,Quatre jeunes sautent sur des marches.,"Quatre gars, dont trois portent des chapeaux, sautent du haut d'un escalier.",0.792994499206543
7,1,CS,Čtyři lidé skáčou na schodiště.,"Čtyři kluci, tři nosící čepice, jeden ne, skáčou z vrcholu schodiště.",0.809909999370575
8,2,EN,A man in a yellow jacket driving a green tractor.,A man in a neon green and orange uniform is driving on a green tractor.,0.8553182482719421
9,2,DE,Ein Mann fährt auf einer Straße einen Traktor.,Ein Mann in einer neongrünen und orangefarbenen Uniform fährt auf einem grünen Traktor.,0.792833685874939
10,2,FR,Un homme avec un gilet vert et des lunettes de sécurité conduit un tracteur.,Un homme en uniforme orange et vert fluo conduit un tracteur vert.,0.8291881084442139
11,2,CS,Muž v zelené bundě řídí traktor.,Muž v neonově zelené a oranžové uniformě řídí zelený traktor.,0.8466010093688965
12,3,EN,A little girl is playing with paint in front of a rainbow painting.,A little girl is sitting in front of a large painted rainbow.,0.9138136506080627
13,3,DE,"Ein kleines Mädchen sitzt vor einem großen Regenbogen, der auf einer weißen Wand gemalt wurde.",Ein kleines Mädchen sitzt vor einem großen gemalten Regenbogen.,0.9180817604064941
14,3,FR,Une petite fille est assise sur l'herbe devant un arc-en-ciel peint.,Une petite fille est assise devant un grand arc-en-ciel peint.,0.9477636814117432
15,3,CS,Malá dívka sedí pod malovaným barevným oblakem.,Malá holčička sedí před velkou namalovanou duhou.,0.8216720819473267
16,4,EN,A man in a hard hat is holding a red flag on the street.,A man wearing a reflective vest and a hard hat holds a flag in the road,0.8550670146942139
17,4,DE,Ein Mann mit einer orangefarbenen Flagge steht auf der Straße.,"Ein Mann, der eine reflektierende Weste und einen Schutzhelm trägt, hält eine Flagge in die Straße.",0.8111434578895569
18,4,FR,Un homme avec un casque bleu et une veste orange tient un drapeau rouge.,Un homme vêtu d'un gilet réfléchissant et d'un casque tient un drapeau sur la route.,0.8292803764343262
19,4,CS,Muž v oranžové vestě stojí na ulici.,"Muž, který je oblečený do reflexní vesty a ochranné přilby, drží vlajku na silnici.",0.7555009126663208
20,5,EN,A man in a blue coat is painting a picture of a street scene.,"A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.",0.875904381275177
21,5,DE,"Ein Mann mit einer blauen Jacke und einem Hut, der ein Gemälde malt.",Eine Person in einem blauen Mantel steht auf einem belebten Gehweg und betrachtet ein Gemälde einer Straßenszene.,0.7796178460121155
22,5,FR,Un homme avec un chapeau peint une scène de rue.,Une personne vêtue d'un manteau bleu se tient sur un trottoir encombré et étudie une peinture représentant une scène de rue.,0.8424357175827026
23,5,CS,Muž maluje obraz na ulici.,Osoba oblečená v modrém plášti stojí na rušném chodníku a studuje obraz ulice.,0.7481008768081665
24,6,EN,Two little girls sit in the grass and one is eating her fingernail.,Two young toddlers outside on the grass.,0.8046475648880005
25,6,DE,Ein kleines Mädchen sitzt im Gras und hält sich die Finger in den Mund.,Zwei Kleinkinder im Freien auf dem Gras.,0.7242022752761841
26,6,FR,"Deux petites filles sont assises dans l'herbe, l'une avec la main dans sa bouche.",Deux jeunes bambins dehors sur l'herbe.,0.7929700016975403
27,6,CS,Malá holka si hraje na trávě.,"Dvě mladá batolata, která jsou venku na trávě.",0.7944502234458923
28,7,EN,A young boy in blue jeans and a white shirt is running down the street.,A little boy is standing on the street while a man in overalls is working on a stone wall.,0.8047839403152466
29,7,DE,Ein kleiner Junge läuft auf dem Gehweg.,"Ein kleiner Junge, der auf der Straße steht, während ein Mann in einem Overall an einer Steinwand arbeitet.",0.789312481880188
30,7,FR,Un petit garçon en jean court sur le trottoir.,Un petit garçon se tient debout dans la rue tandis qu'un homme en salopette fabrique un mur de pierre.,0.7937304377555847
31,7,CS,Malý chlapec běží po ulici.,"Malý chlapec stojí na ulici, zatímco muž v montérkách pracuje na kamenné zdi.",0.8253993988037109
32,8,EN,A group of people are walking down the street.,"A man in a suit is running past two other gentleman, also dressed in a suit.",0.7480387091636658
33,8,DE,Eine Menschenmenge geht durch eine Stadt.,"Ein Mann in einem Anzug rennt an zwei anderen Herren vorbei, die auch einen Anzug tragen.",0.7145963907241821
34,8,FR,Des gens marchent dans la rue.,"Un homme en costume dépasse deux autres messieurs, également vêtus d'un costume.",0.707590639591217
35,8,CS,Lidé jdou po ulici ve městě.,"Muž v obleku běží okolo dalšího pána, také oblečeného v obleku.",0.7048754692077637
36,9,EN,A man on skis is talking to a person in the snow.,Man on skis looking at artwork for sale in the snow,0.8124424815177917
37,9,DE,"Ein Mann auf Skiern spricht mit einem anderen Mann, der Bilder an einem Stand im Schnee ausstellt.","Mann auf Skiern, das zu verkaufende Kunstwerke im Schnee betrachtet.",0.799134373664856
38,9,FR,Un skieur en train de parler à un artiste dans la neige.,L'homme à skis regarde les illustrations à vendre dans la neige.,0.7902546525001526
39,9,CS,"Muž na lyžích se dívá na malby, které jsou na chodníku.","Muž na lyžích, který se dívá na umělecká díla k prodeji ve sněhu.",0.8157098293304443
40,10,EN,A man and a little girl in a pink shopping cart.,A man and a little girl happily posing in front of their cart in a supermarket.,0.8510643839836121
41,10,DE,Ein Mann und ein kleines Mädchen sitzen in einem pinkfarbenen Einkaufswagen.,Ein Mann und ein kleines Mädchen posieren glücklich vor ihrem Einkaufswagen im Supermarkt.,0.8727895021438599
42,10,FR,Un homme et une petite fille dans un chariot rose dans un supermarché.,"Un homme et une petite fille posent, visiblement heureux, devant leur chariot dans un supermarché.",0.8394829630851746
