id,image_id,lang,prediction,reference,bertscore_f1
0,0,EN,A man is doing a handstand on top of a railing in front of a building that says Vorsicht.,Boys dancing on poles in the middle of the night.,0.7314140200614929
1,0,DE,"Ein Mann macht einen Handstand auf einem Geländer vor einem Gebäude, auf dem „Vorsicht“ steht.",Jungen tanzen mitten in der Nacht auf Pfosten.,0.6829025149345398
2,0,FR,Un homme fait le poirier au sommet d'une balustrade devant un bâtiment qui indique Vorsicht.,Des garçons dansent sur des barres au milieu de la nuit.,0.7549216747283936
3,0,CS,Muž dělá stojku na zábradlí před budovou s nápisem Vorsicht.,Chlapci tančící na tyčích uprostřed noci.,0.6879695653915405
4,1,EN,Four people jump off the steps in front of a brick wall.,Four guys three wearing hats one not are jumping at the top of a staircase.,0.7688590288162231
5,1,DE,Vier Menschen springen von der Treppe vor einer Backsteinmauer.,"Vier Typen, von denen drei Hüte tragen und einer nicht, springen oben in einem Treppenhaus.",0.7562729716300964
6,1,FR,Quatre personnes sautent des marches devant un mur de briques.,"Quatre gars, dont trois portent des chapeaux, sautent du haut d'un escalier.",0.7823628187179565
7,1,CS,Čtyři lidé seskočí ze schodů před cihlovou zdí.,"Čtyři kluci, tři nosící čepice, jeden ne, skáčou z vrcholu schodiště.",0.7440117001533508
8,2,EN,A man is driving a green John Deere tractor.,A man in a neon green and orange uniform is driving on a green tractor.,0.8476402163505554
9,2,DE,Ein Mann fährt einen grünen John Deere-Traktor.,Ein Mann in einer neongrünen und orangefarbenen Uniform fährt auf einem grünen Traktor.,0.8168066740036011
10,2,FR,Un homme conduit un tracteur John Deere vert.,Un homme en uniforme orange et vert fluo conduit un tracteur vert.,0.8247495889663696
11,2,CS,Muž řídí zelený traktor John Deere.,Muž v neonově zelené a oranžové uniformě řídí zelený traktor.,0.8160741925239563
12,3,EN,A child plays in front of a painted rainbow.,A little girl is sitting in front of a large painted rainbow.,0.9173369407653809
13,3,DE,Ein Kind spielt vor einem gemalten Regenbogen.,Ein kleines Mädchen sitzt vor einem großen gemalten Regenbogen.,0.9221456050872803
14,3,FR,Un enfant joue devant un arc-en-ciel peint.,Une petite fille est assise devant un grand arc-en-ciel peint.,0.9204308390617371
15,3,CS,Dítě si hraje před malovanou duhou.,Malá holčička sedí před velkou namalovanou duhou.,0.8056215643882751
16,4,EN,A man in a reflective vest stands on the street holding a red flag.,A man wearing a reflective vest and a hard hat holds a flag in the road,0.8579503297805786
17,4,DE,Ein Mann in einer Warnweste steht mit einer roten Fahne auf der Straße.,"Ein Mann, der eine reflektierende Weste und einen Schutzhelm trägt, hält eine Flagge in die Straße.",0.7968587279319763
18,4,FR,Un homme portant un gilet réfléchissant se tient dans la rue et tient un drapeau rouge.,Un homme vêtu d'un gilet réfléchissant et d'un casque tient un drapeau sur la route.,0.8964687585830688
19,4,CS,Muž v reflexní vestě stojí na ulici a drží červenou vlajku.,"Muž, který je oblečený do reflexní vesty a ochranné přilby, drží vlajku na silnici.",0.8335158824920654
20,5,EN,A man with a painting of a city street on an easel.,"A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.",0.7873163819313049
21,5,DE,Ein Mann mit einem Gemälde einer Stadtstraße auf einer Staffelei.,Eine Person in einem blauen Mantel steht auf einem belebten Gehweg und betrachtet ein Gemälde einer Straßenszene.,0.7846815586090088
22,5,FR,Un homme avec une peinture représentant une rue de la ville sur un chevalet.,Une personne vêtue d'un manteau bleu se tient sur un trottoir encombré et étudie une peinture représentant une scène de rue.,0.8109500408172607
23,5,CS,Muž s malbou městské ulice na stojanu.,Osoba oblečená v modrém plášti stojí na rušném chodníku a studuje obraz ulice.,0.7026029229164124
24,6,EN,A little girl in pink is eating something off of her hand.,Two young toddlers outside on the grass.,0.7373930811882019
25,6,DE,Ein kleines Mädchen in Rosa isst etwas von ihrer Hand.,Zwei Kleinkinder im Freien auf dem Gras.,0.6842439770698547
26,6,FR,Une petite fille en rose mange quelque chose dans sa main.,Deux jeunes bambins dehors sur l'herbe.,0.7399141788482666
27,6,CS,Malá holčička v růžovém jí něco z ruky.,"Dvě mladá batolata, která jsou venku na trávě.",0.7027527093887329
28,7,EN,A young boy in blue jeans and a white shirt is running down the street.,A little boy is standing on the street while a man in overalls is working on a stone wall.,0.8047839403152466
29,7,DE,Ein kleiner Junge in Bluejeans und weißem Hemd rennt die Straße entlang.,"Ein kleiner Junge, der auf der Straße steht, während ein Mann in einem Overall an einer Steinwand arbeitet.",0.7269383668899536
30,7,FR,Un jeune garçon en jean bleu et chemise blanche court dans la rue.,Un petit garçon se tient debout dans la rue tandis qu'un homme en salopette fabrique un mur de pierre.,0.7881863117218018
31,7,CS,Po ulici běží mladý chlapec v modrých džínách a bílé košili.,"Malý chlapec stojí na ulici, zatímco muž v montérkách pracuje na kamenné zdi.",0.759320855140686
32,8,EN,A group of people walking down the street in front of a tall building.,"A man in a suit is running past two other gentleman, also dressed in a suit.",0.7298949956893921
33,8,DE,Eine Gruppe von Menschen geht vor einem hohen Gebäude die Straße entlang.,"Ein Mann in einem Anzug rennt an zwei anderen Herren vorbei, die auch einen Anzug tragen.",0.7464253902435303
34,8,FR,Un groupe de personnes marchant dans la rue devant un grand immeuble.,"Un homme en costume dépasse deux autres messieurs, également vêtus d'un costume.",0.709717333316803
35,8,CS,Skupina lidí jdoucích po ulici před vysokou budovou.,"Muž v obleku běží okolo dalšího pána, také oblečeného v obleku.",0.6813451647758484
36,9,EN,A man in a blue jacket is skiing on the snow.,Man on skis looking at artwork for sale in the snow,0.7368226051330566
37,9,DE,Ein Mann in einer blauen Jacke fährt im Schnee Ski.,"Mann auf Skiern, das zu verkaufende Kunstwerke im Schnee betrachtet.",0.7361714243888855
38,9,FR,Un homme vêtu d'une veste bleue skie sur la neige.,L'homme à skis regarde les illustrations à vendre dans la neige.,0.7763413786888123
39,9,CS,Muž v modré bundě lyžuje na sněhu.,"Muž na lyžích, který se dívá na umělecká díla k prodeji ve sněhu.",0.7345331311225891
40,10,EN,A man and a little girl sit in a pink shopping cart.,A man and a little girl happily posing in front of their cart in a supermarket.,0.8512254357337952
41,10,DE,Ein Mann und ein kleines Mädchen sitzen in einem rosa Einkaufswagen.,Ein Mann und ein kleines Mädchen posieren glücklich vor ihrem Einkaufswagen im Supermarkt.,0.890293300151825
42,10,FR,Un homme et une petite fille sont assis dans un caddie rose.,"Un homme et une petite fille posent, visiblement heureux, devant leur chariot dans un supermarché.",0.8200802206993103
43,10,CS,Muž a malá dívka sedí v růžovém nákupním košíku.,Muž a malá dívka šťastně pózující před svým košíkem v supermarketu.,0.7924772500991821
44,11,EN,Three men stand in front of a car that says Grenzwache on the side.,Some men standing in front of a building next to a parked car.,0.7915825247764587
45,11,DE,"Drei Männer stehen vor einem Auto, auf dessen Seite „Grenzwache“ steht.",Ein paar Männer stehen vor einem Gebäude neben einem parkenden Auto.,0.8105189204216003
46,11,FR,Trois hommes se tiennent devant une voiture portant l'inscription Grenzwache sur le côté.,Quelques hommes debout devant un immeuble à côté d'une voiture en stationnement.,0.7597777843475342
47,11,CS,Tři muži stojí před autem s nápisem Grenzwache na straně.,Nějací muži stojí před budovou vedle zaparkovaného auta.,0.7156690955162048
48,12,EN,Three people walking through a grassy field with trees in the background.,Three people walking on a path in a meadow.,0.863434374332428
49,12,DE,Drei Menschen gehen durch eine Wiese mit Bäumen im Hintergrund.,"Drei Personen, die auf einem Pfad in einer Wiese gehen.",0.8174740076065063
50,12,FR,Trois personnes marchant dans un champ herbeux avec des arbres en arrière-plan.,Trois personnes marchant sur un chemin dans un pré.,0.8711581230163574
51,12,CS,"Tři lidé, kteří jdou přes travnaté pole se stromy v pozadí.","Tři lidé, kteří jdou po pěšině na louce.",0.8194812536239624
52,13,EN,A group of people selling produce on the side of the road.,Villagers selling their crops at the market.,0.8317247033119202
53,13,DE,"Eine Gruppe von Menschen, die am Straßenrand Obst und Gemüse verkaufen.",Dorfbewohner verkaufen ihre Ernte auf dem Markt.,0.7505314350128174
54,13,FR,Un groupe de personnes vendant des produits au bord de la route.,Des villageois en train de vendre leur récolte au marché.,0.7837550640106201
55,13,CS,Skupina lidí prodávajících produkty na kraji silnice.,Vesničané prodávají svou úrodu na trhu.,0.7656298875808716
56,14,EN,A man and child paddle in a yellow kayak.,A man and a baby are in a yellow kayak on water.,0.8830069899559021
57,14,DE,Ein Mann und ein Kind paddeln in einem gelben Kajak.,Ein Mann und ein Baby befinden sich in einem gelben Kajak auf dem Wasser.,0.9199643135070801
58,14,FR,Un homme et un enfant pagayent dans un kayak jaune.,"Sur l'eau, un homme et un bébé sont dans un kayak jaune.",0.8876140117645264
59,14,CS,Muž a dítě pádlují ve žlutém kajaku.,Muž a malé dítě jsou ve žlutém kajaku na vodě.,0.9167230129241943
60,15,EN,A black dog and a brown dog playing with a red frisbee.,A brown and black lab are outside and the black lab is catching a toy in its mouth.,0.7641431093215942
