id,image_id,lang,prediction,reference,bertscore_f1
0,0,EN,A man is doing a handstand on top of a railing in front of a building that says Vorsicht.,Boys dancing on poles in the middle of the night.,0.7314139008522034
1,0,DE,Zwei junge Männer machen Parkour-Tricks auf einer Metallbarriere bei Nacht vor einem beleuchteten Gebäude mit Werbeplakaten.,Jungen tanzen mitten in der Nacht auf Pfosten.,0.7103776335716248
2,0,FR,"Deux personnes font des figures de parkour sur un barrière en métal, avec un bâtiment en arrière-plan illuminé.",Des garçons dansent sur des barres au milieu de la nuit.,0.7541248202323914
3,0,CS,"Na snímku je dvě osoby, které se pohybují na zahradní zábradlí ve tmavém prostoru. Jedna osoba je v pozici, kde má nohy překročeny nad hlavou, druhá je v pozici, kde má nohy překročeny nad rameny. Obě osoby jsou oblečené v sportovním oblečení a nosí tenisky. V pozadí je vidět několik reklamních tabulí a budovy.",Chlapci tančící na tyčích uprostřed noci.,0.6289297342300415
4,1,EN,Four people jump off the steps in front of a brick wall.,Four guys three wearing hats one not are jumping at the top of a staircase.,0.7688590288162231
5,1,DE,"Vier Jugendliche springen in der Luft, während sie auf einer Treppe stehen.","Vier Typen, von denen drei Hüte tragen und einer nicht, springen oben in einem Treppenhaus.",0.7571935653686523
6,1,FR,Quatre jeunes gens sautent dans l'air sur un escalier en béton.,"Quatre gars, dont trois portent des chapeaux, sautent du haut d'un escalier.",0.8115260601043701
7,1,CS,"Na obrázku je čtyři lidé, kteří skákají po schodech. Všechna jsou oblečeni v teplých oblecích a nosí tenisky. Zleva je muž v bílém triku s nápisem ""My Way"", který skáče do vzduchu. Dál před ním je žena v modrém triku a kalhotách, která skáče do vzduchu. Vpravo je muž v černém triku a krémových kalhotách, který skáče do vzduchu. V pozadí je kamenná zeď a dva železné sloupky.","Čtyři kluci, tři nosící čepice, jeden ne, skáčou z vrcholu schodiště.",0.636328399181366
8,2,EN,A man is driving a green John Deere tractor.,A man in a neon green and orange uniform is driving on a green tractor.,0.8476402163505554
9,2,DE,"Ein Mann fährt auf einem grünen John-Deere-Traktor mit einer blauen Maschine am Heck, während er auf einer Straße steht.",Ein Mann in einer neongrünen und orangefarbenen Uniform fährt auf einem grünen Traktor.,0.8056834936141968
10,2,FR,Un homme conduit un tracteur vert sur une route avec des arbres en arrière-plan.,Un homme en uniforme orange et vert fluo conduit un tracteur vert.,0.8213701248168945
11,2,CS,"Na snímku je muž na zeleném traktoru John Deere, který je v obleku s reflexními prvky a sluchátky, jenž je veden na silnici.",Muž v neonově zelené a oranžové uniformě řídí zelený traktor.,0.7252839207649231
12,3,EN,A child plays in front of a painted rainbow.,A little girl is sitting in front of a large painted rainbow.,0.9173369407653809
13,3,DE,"Ein kleines Kind spielt vor einer großen, bunter gemalten Regenbogenzeichnung auf dem Boden.",Ein kleines Mädchen sitzt vor einem großen gemalten Regenbogen.,0.8721895813941956
14,3,FR,Une petite fille joue devant un arc-en-ciel peint sur le mur.,Une petite fille est assise devant un grand arc-en-ciel peint.,0.9214324951171875
15,3,CS,"Dítě hraje u malého, barevného, malovaného obláčku na zeleném trávě.",Malá holčička sedí před velkou namalovanou duhou.,0.7164173126220703
16,4,EN,A man in a reflective vest stands on the street holding a red flag.,A man wearing a reflective vest and a hard hat holds a flag in the road,0.8579502105712891
17,4,DE,"Ein Arbeiter in Sicherheitskleidung steht auf einer Straße und hält ein rotes Schild hoch, während er auf eine Baustelle oder einen Verkehrskontrolleur wartet.","Ein Mann, der eine reflektierende Weste und einen Schutzhelm trägt, hält eine Flagge in die Straße.",0.7436343431472778
18,4,FR,"L'image montre un homme en uniforme de travail, tenant un drapeau orange et se tenant debout sur une rue avec des voitures en arrière-plan.",Un homme vêtu d'un gilet réfléchissant et d'un casque tient un drapeau sur la route.,0.7455825209617615
19,4,CS,"Na snímku je člověk v obleku s reflexním pásem, který stojí na ulici a drží červený háček. V pozadí jsou vidět lidé, auta a budovy.","Muž, který je oblečený do reflexní vesty a ochranné přilby, drží vlajku na silnici.",0.7260897159576416
20,5,EN,A man with a painting of a city street on an easel.,"A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.",0.7873163819313049
21,5,DE,"Das Bild zeigt eine Menschenmenge, die sich auf einer Straße befindet, und einen Mann, der ein Gemälde mit einem bunten Stadtlandschaftsaufkleber malt.",Eine Person in einem blauen Mantel steht auf einem belebten Gehweg und betrachtet ein Gemälde einer Straßenszene.,0.772182047367096
22,5,FR,"L'image montre des artistes peignant des scènes urbaines sur des chevalets, avec des personnes en arrière-plan portant des parapluies.",Une personne vêtue d'un manteau bleu se tient sur un trottoir encombré et étudie une peinture représentant une scène de rue.,0.7505829334259033
23,5,CS,"Na obrázku je malíř, který maluje obraz s lidmi a budovami v pozadí.",Osoba oblečená v modrém plášti stojí na rušném chodníku a studuje obraz ulice.,0.7229272127151489
24,6,EN,A little girl in pink is eating something off of her hand.,Two young toddlers outside on the grass.,0.7373930811882019
25,6,DE,"Zwei Kleinkinder sitzen im Gras, eines isst und das andere hält eine Flasche.",Zwei Kleinkinder im Freien auf dem Gras.,0.740800142288208
26,6,FR,"Deux petites filles sont assises sur l'herbe, l'une portant un t-shirt rose et l'autre un orange, elles semblent être en train de manger quelque chose.",Deux jeunes bambins dehors sur l'herbe.,0.7579171061515808
27,6,CS,"Dva děti sedí na trávě, jeden drží obal s nápojem.","Dvě mladá batolata, která jsou venku na trávě.",0.7557453513145447
28,7,EN,A young boy in blue jeans and a white shirt is running down the street.,A little boy is standing on the street while a man in overalls is working on a stone wall.,0.8047838807106018
29,7,DE,"Ein kleiner Junge läuft auf einer Straße, während ein Mann im Hintergrund mit einem Eimer zu sehen ist.","Ein kleiner Junge, der auf der Straße steht, während ein Mann in einem Overall an einer Steinwand arbeitet.",0.8363111615180969
30,7,FR,"Un enfant en t-shirt blanc et pantalon bleu marche sur un trottoir en pierre, tandis qu'un homme en combinaison bleue marche derrière lui.",Un petit garçon se tient debout dans la rue tandis qu'un homme en salopette fabrique un mur de pierre.,0.7805243134498596
31,7,CS,"Na snímku je dítě v modrých kalhotách a bílém tričku, které chůdzi po ulici vedle starého kamenného plotu. V pozadí je vidět černý sloup a někdo, kteří stojí za plotem.","Malý chlapec stojí na ulici, zatímco muž v montérkách pracuje na kamenné zdi.",0.704017698764801
32,8,EN,A group of people walking down the street in front of a tall building.,"A man in a suit is running past two other gentleman, also dressed in a suit.",0.7298949956893921
33,8,DE,"Das Bild zeigt eine belebte Straße mit vielen Menschen, die sich auf einer Demonstration oder einem Protest befinden. Es gibt mehrere Hochhäuser im Hintergrund und verschiedene Schilder und Bänke entlang der Straße.","Ein Mann in einem Anzug rennt an zwei anderen Herren vorbei, die auch einen Anzug tragen.",0.7020769119262695
34,8,FR,"L'image montre une foule de personnes marchant dans une rue animée, avec des bâtiments modernes et des panneaux d'affichage à l'horizon.","Un homme en costume dépasse deux autres messieurs, également vêtus d'un costume.",0.6811134219169617
35,8,CS,"Na snímku je městské náměstí s lidmi, kteří se pohybují po silnici. V pozadí jsou vysoké budovy a vodorovné pole.","Muž v obleku běží okolo dalšího pána, také oblečeného v obleku.",0.6796485781669617
36,9,EN,A man in a blue jacket is skiing on the snow.,Man on skis looking at artwork for sale in the snow,0.7368226051330566
37,9,DE,"Zwei Personen stehen im Schnee zwischen Bäumen, einer mit Skis und Skiern, der andere mit einem Schild voller Bilder.","Mann auf Skiern, das zu verkaufende Kunstwerke im Schnee betrachtet.",0.7243785858154297
38,9,FR,"Deux personnes sont en train de skier dans une forêt d'hiver, avec des arbres couverts de neige et des panneaux d'affichage à côté d'eux.",L'homme à skis regarde les illustrations à vendre dans la neige.,0.7177956104278564
39,9,CS,"V zimním lesíku se nachází dva lidé, jeden s lyžemi a druhý s malými obrazovkami na stojanu.","Muž na lyžích, který se dívá na umělecká díla k prodeji ve sněhu.",0.7003073692321777
40,10,EN,A man and a little girl sit in a pink shopping cart.,A man and a little girl happily posing in front of their cart in a supermarket.,0.8512254357337952
41,10,DE,Ein Mann sitzt mit einer kleinen Kind auf einem rosa Kinderwagen im Supermarkt.,Ein Mann und ein kleines Mädchen posieren glücklich vor ihrem Einkaufswagen im Supermarkt.,0.8328173160552979
42,10,FR,Un homme et une petite fille sont assis dans un chariot de supermarché.,"Un homme et une petite fille posent, visiblement heureux, devant leur chariot dans un supermarché.",0.8699448704719543
43,10,CS,"V obchodě se muž s dítětem sedí na růžovém židličce, kde dítě užívá hračky.",Muž a malá dívka šťastně pózující před svým košíkem v supermarketu.,0.7227853536605835
44,11,EN,Three men stand in front of a car that says Grenzwache on the side.,Some men standing in front of a building next to a parked car.,0.7915825247764587
45,11,DE,"Das Bild zeigt eine nächtliche Szene mit drei Polizisten, die neben einem dunklen Polizeiauto mit der Aufschrift ""Grenzwache"" stehen. Der Hintergrund ist von einer Laterne beleuchtet und es sind Fahrräder zu sehen.",Ein paar Männer stehen vor einem Gebäude neben einem parkenden Auto.,0.7187802195549011
46,11,FR,L'image montre des policiers devant un véhicule de patrouille dans une zone nocturne avec des lampes éclairant le lieu.,Quelques hommes debout devant un immeuble à côté d'une voiture en stationnement.,0.7641270756721497
47,11,CS,"Na snímku jsou tři policisté, kteří stojí vedle policejního vozu s nápisem ""Grenzwache"" na zadním nárazníku. V pozadí je parkovací místo s cyklistickými kolami a budovou s okny. Všechno toto je osvětleno lampami.",Nějací muži stojí před budovou vedle zaparkovaného auta.,0.698046863079071
48,12,EN,Three people walking through a grassy field with trees in the background.,Three people walking on a path in a meadow.,0.863434374332428
49,12,DE,Drei Personen gehen gemeinsam durch ein grünes Feld mit Bäumen und einem klaren Himmel im Hintergrund.,"Drei Personen, die auf einem Pfad in einer Wiese gehen.",0.7493037581443787
50,12,FR,Trois personnes marchent dans un champ verdoyant avec des arbres et des montagnes en arrière-plan.,Trois personnes marchant sur un chemin dans un pré.,0.8231720924377441
51,12,CS,"Výrazná příroda s lesy, polem a horizontem v pozadí.","Tři lidé, kteří jdou po pěšině na louce.",0.6670644879341125
52,13,EN,A group of people selling produce on the side of the road.,Villagers selling their crops at the market.,0.8317246437072754
